TRUMP,CLINTON,JOHNSON,precinct,county,voters_16,ballots_16,turnout_16
1722,1368,156,Acworth 1A,Cobb,4166,3309,79.43
1610,1155,118,Acworth 1B,Cobb,3866,2951,76.33
1039,1538,129,Acworth 1C,Cobb,3718,2769,74.48
901,683,80,Addison 01,Cobb,2085,1717,82.35
524,2002,52,Austell 1A,Cobb,3578,2597,72.58
1043,797,122,Bells Ferry 02,Cobb,2518,2006,79.67
2110,1362,225,Bells Ferry 03,Cobb,4866,3803,78.15
890,667,87,Big Shanty 01,Cobb,2283,1686,73.85
1186,805,107,Big Shanty 02,Cobb,2595,2153,82.97
1260,1470,153,Baker 01,Cobb,3834,2940,76.68
558,904,63,Birney 01,Cobb,2048,1542,75.29
922,1448,82,Birney 02,Cobb,3093,2491,80.54
74,1197,24,Bryant 01,Cobb,1676,1313,78.34
141,2457,35,Bryant 02,Cobb,4395,2667,60.68
876,769,101,Blackwell 01,Cobb,2212,1780,80.47
785,2149,156,Chattahoochee 01,Cobb,4413,3172,71.88
1301,704,89,Cheatham Hill 02,Cobb,2559,2159,84.37
1509,1119,151,Cheatham Hill 03,Cobb,3387,2873,84.82
1286,1474,175,Chalker 01,Cobb,4137,3006,72.66
449,669,25,Clarkdale 01,Cobb,1502,1168,77.76
983,2069,67,Clarkdale 02,Cobb,4110,3164,76.98
627,2010,75,Cooper 01,Cobb,3769,2760,73.23
1412,812,110,Chestnut Ridge 01,Cobb,2768,2390,86.34
1148,823,103,Dickerson 01,Cobb,2537,2142,84.43
402,1659,84,Dobbins 01,Cobb,3308,2206,66.69
1060,976,118,Dowell 01,Cobb,2738,2230,81.45
931,554,65,Dodgen 01,Cobb,1851,1586,85.68
2057,720,103,Durham 01,Cobb,3590,2938,81.84
805,502,73,Davis 01,Cobb,1743,1419,81.41
1232,835,95,Eastside 01,Cobb,2651,2234,84.27
1652,1117,152,Eastside 02,Cobb,3556,3028,85.15
690,1245,81,Elizabeth 01,Cobb,2943,2054,69.79
964,617,68,Elizabeth 02,Cobb,2031,1683,82.87
1139,724,91,Elizabeth 03,Cobb,2369,1989,83.96
710,931,101,Elizabeth 04,Cobb,2324,1796,77.28
1075,861,119,Elizabeth 05,Cobb,2561,2116,82.62
696,737,70,East Piedmont 01,Cobb,1977,1533,77.54
604,1570,74,Fair Oaks 01,Cobb,3167,2291,72.34
588,1625,56,Fair Oaks 02,Cobb,3538,2306,65.18
438,742,38,Fair Oaks 04,Cobb,1844,1247,67.62
298,548,29,Fair Oaks 05,Cobb,1511,889,58.84
1281,986,135,Fullers Park 01,Cobb,2953,2486,84.19
1563,559,82,Ford 01,Cobb,2728,2255,82.66
1115,516,73,Frey 01,Cobb,2123,1732,81.58
1119,761,90,Garrison Mill 01,Cobb,2408,2018,83.8
1473,962,153,Gritters 01,Cobb,3313,2651,80.02
647,2761,81,Harmony Leland 01,Cobb,4520,3544,78.41
1413,494,67,Harrison 01,Cobb,2411,2022,83.87
1713,1149,196,Hightower 01,Cobb,3697,3130,84.66
1797,791,114,Hayes 01,Cobb,3392,2772,81.72
689,655,76,Kennesaw 1A,Cobb,1993,1463,73.41
1252,938,116,Kennesaw 2A,Cobb,3043,2364,77.69
1232,1913,160,Kennesaw 3A,Cobb,4537,3374,74.37
1157,1005,122,Kennesaw 4A,Cobb,2999,2349,78.33
1794,1716,206,Kennesaw 5A,Cobb,4676,3801,81.29
842,462,102,Kell 01,Cobb,1725,1433,83.07
943,336,66,Kemp 01,Cobb,1666,1389,83.37
1645,980,104,Kemp 02,Cobb,3319,2780,83.76
2035,633,98,Kemp 03,Cobb,3372,2825,83.78
1609,844,124,Lassiter 01,Cobb,3148,2650,84.18
798,2178,107,Lindley 01,Cobb,3836,3151,82.14
1569,739,81,Lost Mountain 01,Cobb,2908,2443,84.01
2116,685,126,Lost Mountain 02,Cobb,3572,2990,83.71
2346,1081,141,Lost Mountain 03,Cobb,4312,3625,84.07
1239,560,69,Lost Mountain 04,Cobb,2320,1900,81.9
771,325,46,Lewis 01,Cobb,1398,1162,83.12
983,1805,81,Mableton 01,Cobb,3805,2919,76.71
506,952,29,Mableton 02,Cobb,2162,1515,70.07
833,910,85,Mableton 03,Cobb,2384,1873,78.57
537,471,69,Mableton 04,Cobb,1350,1114,82.52
798,394,66,Mabry 01,Cobb,1519,1294,85.19
744,1556,55,Macland 01,Cobb,3119,2388,76.56
1614,1039,173,Murdock 01,Cobb,3415,2934,85.92
1003,1105,50,McEachern 01,Cobb,2676,2191,81.88
753,442,52,McCleskey 01,Cobb,1518,1286,84.72
748,326,50,McClure 01,Cobb,1364,1152,84.46
498,1192,107,Marietta 1A,Cobb,2924,1863,63.71
948,539,91,Marietta 2A,Cobb,1899,1640,86.36
1071,1495,107,Marietta 2B,Cobb,3580,2750,76.82
