TRUMP,CLINTON,JOHNSON,precinct,county,voters_16,ballots_16,turnout_16
172,1584,26,ALLGOOD ELEM,DeKalb,2174,1817,83.58
898,1088,111,ASHFORD DUNWOODY RD,DeKalb,2500,2153,86.12
809,784,125,ASHFORD PARK ELEM,DeKalb,2053,1778,86.6
956,1418,105,ASHFORD PARKSIDE,DeKalb,2991,2543,85.02
1065,786,90,AUSTIN,DeKalb,2281,1997,87.55
61,1110,21,AUSTIN DRIVE,DeKalb,1891,1209,63.93
551,1486,134,AVONDALE,DeKalb,2487,2230,89.67
167,954,32,AVONDALE HIGH - 04,DeKalb,1468,1199,81.68
93,850,32,AVONDALE HIGH - 05,DeKalb,1240,1001,80.73
81,2411,23,BETHUNE MIDDLE,DeKalb,3549,2542,71.63
53,1112,11,BOULDERCREST RD,DeKalb,1589,1190,74.89
236,2581,142,BOULEVARD,DeKalb,3756,3033,80.75
409,1373,100,BRIAR VISTA ELEM,DeKalb,2386,1928,80.8
689,1200,87,BRIARCLIFF,DeKalb,2508,2046,81.58
487,709,58,BRIARLAKE ELEM,DeKalb,1545,1317,85.24
515,872,93,BRIARWOOD,DeKalb,1918,1514,78.94
584,971,67,BROCKETT,DeKalb,2064,1655,80.18
546,1048,62,BROCKETT ELEM,DeKalb,2139,1698,79.38
993,1169,142,BROOKHAVEN,DeKalb,2899,2378,82.03
80,2300,36,BROWNS MILL ELEM,DeKalb,3105,2451,78.94
133,1730,76,BURGESS ELEM,DeKalb,2527,1983,78.47
31,1085,8,CANBY LANE ELEM,DeKalb,1588,1141,71.85
67,1518,44,CANDLER,DeKalb,2588,1656,63.99
133,1705,27,CANDLER-MURPHEY CANDLER ELEM,DeKalb,2460,1891,76.87
92,2451,33,CEDAR GROVE ELEM,DeKalb,3235,2605,80.53
23,824,5,CEDAR GROVE MIDDLE,DeKalb,1339,861,64.3
75,2239,23,CEDAR GROVE SOUTH,DeKalb,3011,2373,78.81
361,633,64,CHAMBLEE,DeKalb,1402,1093,77.96
687,970,117,CHAMBLEE 2,DeKalb,2212,1813,81.96
49,1913,23,CHAPEL HILL ELEM,DeKalb,2597,2018,77.71
417,934,58,CHESNUT ELEM,DeKalb,1862,1442,77.44
351,1966,97,CLAIREMONT EAST,DeKalb,2815,2473,87.85
