TRUMP,CLINTON,JOHNSON,precinct,county,voters_16,ballots_16,turnout_16
173,1898,97,01A,Fulton,2714,2221,81.83
243,2304,125,01B,Fulton,3337,2748,82.35
19,580,13,01C,Fulton,1120,620,55.36
23,268,6,01D,Fulton,430,307,71.4
283,2932,144,01E,Fulton,4652,3462,74.42
16,443,11,01F,Fulton,981,482,49.13
20,378,10,01H,Fulton,661,419,63.39
41,1159,35,01J,Fulton,2030,1265,62.32
17,577,11,01P,Fulton,1000,615,61.5
7,564,7,01R,Fulton,1107,581,52.48
25,801,10,01S,Fulton,1391,848,60.96
49,695,20,01T,Fulton,1196,785,65.64
455,1814,133,02A,Fulton,3211,2450,76.3
178,1048,32,02B,Fulton,2895,1294,44.7
90,1121,48,02C,Fulton,1725,1295,75.07
239,2177,113,02D,Fulton,3582,2591,72.33
154,1215,60,02E,Fulton,1733,1466,84.59
216,1704,107,02F1,Fulton,2589,2080,80.34
47,420,19,02F2,Fulton,669,491,73.39
247,1968,105,02G,Fulton,2959,2375,80.26
220,1844,94,02J,Fulton,1934,2219,114.74
120,819,57,02K,Fulton,1246,1027,82.42
552,2965,198,02L1,Fulton,4934,3790,76.81
130,575,28,02L2,Fulton,971,746,76.83
30,394,13,02S,Fulton,620,447,72.1
52,219,25,02W,Fulton,422,301,71.33
22,763,5,03A,Fulton,1673,803,48
2,203,2,03B,Fulton,494,208,42.11
14,738,10,03C,Fulton,1294,780,60.28
10,391,6,03D,Fulton,837,416,49.7
40,885,16,03E,Fulton,1776,961,54.11
174,933,72,03F,Fulton,1647,1203,73.04
6,302,6,03G,Fulton,602,327,54.32
9,384,12,03H,Fulton,770,416,54.03
123,657,83,03I,Fulton,1394,901,64.63
10,204,2,03L,Fulton,478,219,45.82
87,337,38,03M,Fulton,663,478,72.1
35,881,27,03N,Fulton,1860,960,51.61
243,1592,116,03P1A,Fulton,3011,2017,66.99
1,21,0,03P2,Fulton,26,22,84.62
7,338,6,03S,Fulton,600,354,59
32,718,17,03T,Fulton,1320,783,59.32
11,493,12,04A,Fulton,981,530,54.03
23,941,11,04B,Fulton,1924,997,51.82
0,64,0,04C,Fulton,111,64,57.66
17,710,4,04D,Fulton,1239,745,60.13
77,853,28,04F,Fulton,1792,976,54.46
8,306,7,04G,Fulton,667,326,48.88
52,504,19,04I,Fulton,2328,594,25.52
5,412,4,04J,Fulton,1113,437,39.26
34,1138,21,04K,Fulton,1952,1231,63.06
28,740,24,04L,Fulton,1296,813,62.73
8,319,3,04M,Fulton,637,335,52.59
23,1119,15,04S,Fulton,1820,1175,64.56
9,540,6,04T,Fulton,922,563,61.06
20,1201,17,04V,Fulton,2264,1259,55.61
9,705,10,04W,Fulton,1696,739,43.57
28,923,20,04X1,Fulton,1525,995,65.25
8,318,11,04X2,Fulton,608,350,57.57
147,1465,83,05A1,Fulton,2154,1738,80.69
121,1502,61,05A2,Fulton,2209,1720,77.86
55,852,37,05B,Fulton,1475,961,65.15
3,63,0,05C,Fulton,135,71,52.59
8,117,3,05D,Fulton,312,135,43.27
7,71,2,05F,Fulton,104,81,77.88
47,350,21,05J,Fulton,527,422,80.08
85,1255,55,05K,Fulton,2203,1423,64.59
197,1012,69,06B,Fulton,1603,1316,82.1
1152,4561,255,06D,Fulton,7478,6130,81.97
253,1216,53,06E,Fulton,1961,1555,79.3
281,1455,107,06F,Fulton,2381,1895,79.59
53,307,13,06G,Fulton,464,383,82.54
233,1448,83,06I,Fulton,2553,1820,71.29
