"county","precinct","TRUMP","CLINTON","JOHNSON","voters_16","ballots_16","turnout_16","HANDEL","OSSOFF","voters_17","ballots_17","turnout_17","winner2016","winner2017","D2016","D2017","diff"
"Cobb","Addison 01",901,683,80,2085,1717,82.35,737,568,2184,1305,59.75,"Trump","Handel",56.88,56.48,-0.400000000000006
"Cobb","Bells Ferry 02",1043,797,122,2518,2006,79.67,805,679,2708,1484,54.8,"Trump","Handel",56.68,54.25,-2.43
"Cobb","Bells Ferry 03",2110,1362,225,4866,3803,78.15,1419,1056,5249,2478,47.21,"Trump","Handel",60.77,57.33,-3.44
"Cobb","Blackwell 01",876,769,101,2212,1780,80.47,689,632,2369,1322,55.8,"Trump","Handel",53.25,52.16,-1.09
"Cobb","Chattahoochee 01",785,2149,156,4413,3172,71.88,153,616,2528,770,30.46,"Clinton","Ossoff",26.76,19.9,-6.86
"Cobb","Chestnut Ridge 01",1412,812,110,2768,2390,86.34,1287,732,2866,2020,70.48,"Trump","Handel",63.49,63.74,0.25
"Cobb","Davis 01",805,502,73,1743,1419,81.41,634,449,1829,1083,59.21,"Trump","Handel",61.59,58.54,-3.05
"Cobb","Dickerson 01",1148,823,103,2537,2142,84.43,1053,719,2626,1772,67.48,"Trump","Handel",58.24,59.42,1.18
"Cobb","Dodgen 01",931,554,65,1851,1586,85.68,822,488,1927,1311,68.03,"Trump","Handel",62.69,62.75,0.0600000000000023
"Cobb","East Piedmont 01",696,737,70,1977,1533,77.54,132,54,310,186,60,"Clinton","Handel",48.57,70.97,22.4
"Cobb","Eastside 01",1232,835,95,2651,2234,84.27,1090,762,2781,1855,66.7,"Trump","Handel",59.6,58.86,-0.740000000000002
"Cobb","Eastside 02",1652,1117,152,3556,3028,85.15,1470,1020,3725,2492,66.9,"Trump","Handel",59.66,59.04,-0.619999999999997
"Cobb","Elizabeth 02",964,617,68,2031,1683,82.87,711,515,2171,1227,56.52,"Trump","Handel",60.97,57.99,-2.98
"Cobb","Elizabeth 03",1139,724,91,2369,1989,83.96,926,603,2479,1530,61.72,"Trump","Handel",61.14,60.56,-0.579999999999998
"Cobb","Elizabeth 04",710,931,101,2324,1796,77.28,538,728,2531,1267,50.06,"Clinton","Ossoff",43.27,42.5,-0.770000000000003
"Cobb","Elizabeth 05",1075,861,119,2561,2116,82.62,876,749,2667,1625,60.93,"Trump","Handel",55.53,53.91,-1.62
"Cobb","Fullers Park 01",1281,986,135,2953,2486,84.19,1148,856,3105,2007,64.64,"Trump","Handel",56.51,57.29,0.780000000000001
"Cobb","Garrison Mill 01",1119,761,90,2408,2018,83.8,973,693,2510,1667,66.41,"Trump","Handel",59.52,58.4,-1.12
"Cobb","Gritters 01",1473,962,153,3313,2651,80.02,1139,822,3564,1961,55.02,"Trump","Handel",60.49,58.08,-2.41
"Cobb","Hightower 01",1713,1149,196,3697,3130,84.66,1531,987,3848,2519,65.46,"Trump","Handel",59.85,60.8,0.949999999999996
"Cobb","Kell 01",842,462,102,1725,1433,83.07,603,428,1811,1031,56.93,"Trump","Handel",64.57,58.49,-6.07999999999999
"Cobb","Lassiter 01",1609,844,124,3148,2650,84.18,1311,727,3328,2039,61.27,"Trump","Handel",65.59,64.33,-1.26000000000001
"Cobb","Mabry 01",798,394,66,1519,1294,85.19,724,345,1573,1069,67.96,"Trump","Handel",66.95,67.73,0.780000000000001
"Cobb","Marietta 5A",383,1298,61,2112,1785,84.52,31,155,838,186,22.2,"Clinton","Ossoff",22.78,16.67,-6.11
"Cobb","Marietta 6A",309,914,66,1949,1323,67.88,80,183,766,263,34.33,"Clinton","Ossoff",25.27,30.42,5.15
"Cobb","Marietta 6B",915,930,80,2346,1977,84.27,704,768,2492,1473,59.11,"Clinton","Ossoff",49.59,47.83,-1.76000000000001
"Cobb","Marietta 7A",275,1222,52,2667,1590,59.62,82,132,581,214,36.83,"Clinton","Ossoff",18.37,38.32,19.95
"Cobb","McCleskey 01",753,442,52,1518,1286,84.72,649,400,1607,1050,65.34,"Trump","Handel",63.01,61.87,-1.14
"Cobb","Mount Bethel 01",1671,1177,152,3618,3078,85.07,1523,1010,3778,2534,67.07,"Trump","Handel",58.67,60.13,1.46
"Cobb","Mount Bethel 03",1182,959,74,2731,2263,82.86,1031,813,2876,1844,64.12,"Trump","Handel",55.21,55.91,0.699999999999996
"Cobb","Mount Bethel 04",1238,809,103,2681,2222,82.88,1113,712,2765,1826,66.04,"Trump","Handel",60.48,60.99,0.510000000000005
"Cobb","Murdock 01",1614,1039,173,3415,2934,85.92,1462,929,3635,2391,65.78,"Trump","Handel",60.84,61.15,0.309999999999995
