HANDEL,OSSOFF,precinct,county,voters_17,ballots_17,turnout_17
833,931,ASHFORD DUNWOODY RD,DeKalb,2645,1767,66.81
674,693,ASHFORD PARK ELEM,DeKalb,2207,1368,61.98
760,968,ASHFORD PARKSIDE,DeKalb,3227,1728,53.55
1033,707,AUSTIN,DeKalb,2356,1741,73.9
443,691,BRIARLAKE ELEM,DeKalb,1607,1134,70.57
383,714,BRIARWOOD,DeKalb,2098,1097,52.29
746,933,BROOKHAVEN,DeKalb,3121,1679,53.8
256,520,CHAMBLEE,DeKalb,1534,778,50.72
538,848,CHAMBLEE 2,DeKalb,2380,1386,58.24
344,702,CHESNUT ELEM,DeKalb,2069,1047,50.6
330,557,CROSS KEYS HIGH,DeKalb,1938,887,45.77
272,801,DORAVILLE NORTH,DeKalb,2476,1073,43.34
151,392,DORAVILLE SOUTH,DeKalb,1085,543,50.05
529,1466,DRESDEN ELEM,DeKalb,4230,1997,47.21
576,825,DUNWOODY,DeKalb,2701,1401,51.87
747,597,DUNWOODY HIGH,DeKalb,1876,1344,71.64
1029,678,DUNWOODY LIBRARY,DeKalb,2312,1707,73.83
456,693,EMBRY HILLS,DeKalb,1805,1150,63.71
483,958,EVANSDALE ELEM,DeKalb,2546,1442,56.64
649,883,GEORGETOWN SQUARE,DeKalb,3413,1534,44.95
482,1200,HAWTHORNE ELEM,DeKalb,3422,1682,49.15
575,1068,HENDERSON MILL ELEM,DeKalb,2790,1644,58.92
394,964,HUNTLEY HILLS ELEM,DeKalb,2827,1358,48.04
996,643,KINGSLEY ELEM,DeKalb,2292,1639,71.51
648,725,KITTREDGE ELEM,DeKalb,1961,1374,70.07
769,1242,LAKESIDE HIGH,DeKalb,2901,2011,69.32
411,554,LIVSEY ELEM,DeKalb,1334,966,72.41
649,680,MIDVALE ELEM,DeKalb,1906,1330,69.78
524,991,MIDVALE ROAD,DeKalb,2617,1515,57.89
669,751,MONTGOMERY ELEM,DeKalb,2182,1421,65.12
1024,671,MT. VERNON EAST,DeKalb,2397,1697,70.8
729,698,MT. VERNON WEST,DeKalb,2054,1428,69.52
270,516,NORTH PEACHTREE,DeKalb,1625,788,48.49
150,577,OAKCLIFF ELEM,DeKalb,1677,730,43.53
454,979,PEACHTREE MIDDLE,DeKalb,3020,1433,47.45
221,1024,PLEASANTDALE ROAD,DeKalb,3678,1245,33.85
988,1150,SILVER LAKE,DeKalb,4336,2140,49.35
440,558,SKYLAND,DeKalb,1679,999,59.5
549,457,TILLY MILL ROAD,DeKalb,1430,1007,70.42
753,1041,TUCKER,DeKalb,2782,1796,64.56
473,923,TUCKER LIBRARY,DeKalb,2420,1397,57.73
208,424,WARREN TECH,DeKalb,1162,632,54.39
462,454,WINTERS CHAPEL,DeKalb,1303,918,70.45
