HANDEL,OSSOFF,precinct,county,voters_17,ballots_17,turnout_17
619,457,AP01A,Fulton,1862,1076,57.79
123,167,AP01B,Fulton,729,290,39.78
693,532,AP01C,Fulton,2098,1227,58.48
159,198,AP01D,Fulton,792,357,45.08
89,92,AP02B,Fulton,377,181,48.01
52,184,AP03,Fulton,694,236,34.01
638,397,AP04A,Fulton,1551,1035,66.73
132,114,AP04B,Fulton,377,247,65.52
1499,991,AP05,Fulton,4113,2490,60.54
637,422,AP06,Fulton,1744,1060,60.78
867,765,AP07A,Fulton,3053,1632,53.46
527,376,AP07B,Fulton,1466,903,61.6
1118,1039,AP09A,Fulton,3832,2158,56.32
177,263,AP09B,Fulton,760,440,57.89
845,727,AP021,Fulton,2707,1573,58.11
494,594,AP022,Fulton,2002,1090,54.45
335,225,AP10,Fulton,895,561,62.68
108,174,AP12A,Fulton,586,282,48.12
71,175,AP12B,Fulton,607,246,40.53
389,287,AP12C,Fulton,1251,677,54.12
654,638,AP13,Fulton,2406,1293,53.74
946,837,AP14,Fulton,2795,1785,63.86
1017,1563,JC01,Fulton,4541,2580,56.82
485,522,JC02,Fulton,2011,1007,50.07
164,160,JC03A,Fulton,498,324,65.06
277,437,JC03B,Fulton,1288,714,55.43
1076,1196,JC04A,Fulton,3896,2273,58.34
50,65,JC04B,Fulton,250,115,46
500,582,JC05,Fulton,1989,1083,54.45
746,499,JC06,Fulton,2485,1246,50.14
961,1214,JC07,Fulton,3792,2177,57.41
766,760,JC08,Fulton,2579,1529,59.29
645,856,JC09,Fulton,2695,1502,55.73
484,667,JC10,Fulton,2144,1151,53.68
997,741,JC11,Fulton,2987,1739,58.22
1061,467,JC12,Fulton,2342,1531,65.37
882,391,JC13A,Fulton,1996,1273,63.78
134,30,JC13B,Fulton,261,164,62.84
816,577,JC14,Fulton,2337,1393,59.61
148,252,JC15,Fulton,725,400,55.17
752,694,JC16,Fulton,2349,1446,61.56
979,702,JC18,Fulton,2585,1681,65.03
1056,1051,JC19,Fulton,3463,2107,60.84
830,564,ML011,Fulton,2196,1394,63.48
241,102,ML012,Fulton,452,343,75.88
39,23,ML01B,Fulton,102,62,60.78
786,239,ML021,Fulton,1749,1025,58.6
91,34,ML022,Fulton,229,125,54.59
624,208,ML023,Fulton,1385,832,60.07
34,13,ML024,Fulton,98,48,48.98
1568,611,ML03,Fulton,3498,2179,62.29
609,350,ML04A,Fulton,1640,960,58.54
503,209,ML04B,Fulton,1130,712,63.01
33,15,ML04C,Fulton,70,48,68.57
11,8,ML05A,Fulton,35,19,54.29
145,69,ML05B,Fulton,348,214,61.49
1126,959,ML05C,Fulton,3743,2087,55.76
201,463,ML06A,Fulton,1683,664,39.45
506,773,ML06B,Fulton,2539,1280,50.41
39,16,ML071,Fulton,88,55,62.5
427,193,ML072,Fulton,1065,620,58.22
266,120,ML07A,Fulton,655,386,58.93
139,154,MP01,Fulton,437,293,67.05
1801,1143,RW01,Fulton,4438,2945,66.36
1305,1114,RW02,Fulton,3643,2421,66.46
978,1126,RW03,Fulton,4002,2107,52.65
629,600,RW04,Fulton,1733,1230,70.98
285,552,RW05,Fulton,1964,837,42.62
780,817,RW06,Fulton,2666,1597,59.9
51,351,RW07A,Fulton,1306,403,30.86
47,119,RW07B,Fulton,355,166,46.76
864,459,RW08,Fulton,2085,1324,63.5
2490,1238,RW09,Fulton,5615,3729,66.41
1284,819,RW10,Fulton,3130,2103,67.19
680,706,RW11A,Fulton,2442,1388,56.84
2250,1346,RW12,Fulton,5543,3598,64.91
1216,937,RW13,Fulton,3354,2154,64.22
664,465,RW16,Fulton,1763,1130,64.1
575,819,RW17,Fulton,2576,1396,54.19
818,510,RW19,Fulton,1910,1328,69.53
917,677,RW20,Fulton,2349,1594,67.86
1233,637,RW21,Fulton,3002,1870,62.29
671,925,RW22A,Fulton,3826,1596,41.71
1202,735,SS01,Fulton,2809,1938,68.99
262,347,SS02A,Fulton,1087,609,56.03
141,400,SS02B,Fulton,1148,541,47.13
370,408,SS03,Fulton,1279,780,60.99
541,906,SS04,Fulton,2968,1450,48.85
627,581,SS05,Fulton,1716,1209,70.45
479,373,SS06,Fulton,1264,852,67.41
293,231,SS07A,Fulton,848,524,61.79
112,140,SS07B,Fulton,489,252,51.53
171,172,SS07C,Fulton,708,343,48.45
175,335,SS08A,Fulton,1181,510,43.18
191,172,SS08B,Fulton,617,363,58.83
85,180,SS08C,Fulton,563,265,47.07
177,306,SS08D,Fulton,1131,484,42.79
664,906,SS11A,Fulton,3455,1570,45.44
144,341,SS11B,Fulton,1117,485,43.42
16,62,SS11C,Fulton,235,78,33.19
743,652,SS12,Fulton,2472,1395,56.43
112,578,SS15A,Fulton,2330,690,29.61
219,433,SS15B,Fulton,1489,652,43.79
808,557,SS16,Fulton,1949,1367,70.14
1023,802,SS17,Fulton,3265,1826,55.93
216,203,SS18A,Fulton,605,419,69.26
86,69,SS18B,Fulton,211,155,73.46
325,806,SS19A,Fulton,2774,1131,40.77
293,604,SS19B,Fulton,1968,898,45.63
307,472,SS20,Fulton,1822,779,42.76
557,665,SS22,Fulton,2527,1222,48.36
570,320,SS25,Fulton,1512,891,58.93
217,887,SS26,Fulton,3148,1104,35.07
566,700,SS29A,Fulton,2421,1267,52.33
284,307,SS31,Fulton,973,591,60.74
